cashInLimit,totalCashOutTimes,totalCashInTimes,cashOutAmount,cashInAmount,amountRemain,date,time
20000,17,5,20097,4886,4789,2019-01-06,16:17
20000,39,31,36757,34570,17813,2019-01-06,16:16
20000,8,23,6256,20602,34346,2019-01-06,16:15
20000,44,48,46205,53220,27015,2019-01-06,16:14
20000,25,14,24777,14103,9326,2019-01-06,16:13
20000,11,44,11806,49022,57216,2019-01-06,16:12
20000,15,38,15802,38702,42900,2019-01-06,16:11
20000,45,8,44654,7252,-17402,2019-01-06,16:10
20000,10,22,11512,23041,31529,2019-01-06,16:09
20000,8,26,7181,28283,41102,2019-01-06,16:08
20000,1,37,503,36393,55890,2019-01-06,16:07
20000,1,39,330,44693,64363,2019-01-06,16:06
20000,46,41,44533,44687,20154,2019-01-06,16:05
20000,40,41,43249,43787,20538,2019-01-06,16:04
20000,12,5,13845,5336,11491,2019-01-06,16:03
20000,14,25,16523,27973,31450,2019-01-06,16:02
20000,42,2,37348,2119,-15229,2019-01-06,16:01
20000,40,48,42229,48956,26727,2019-01-06,16:00
20000,44,43,49703,43918,14215,2019-01-06,15:59
20000,43,30,49161,31690,2529,2019-01-06,15:58
20000,17,45,17226,39897,42671,2019-01-06,15:57
20000,28,21,29959,23361,13402,2019-01-06,15:56
20000,24,28,24534,33170,28636,2019-01-06,15:55
20000,40,30,46058,29418,3360,2019-01-06,15:54
20000,17,7,16692,6466,9774,2019-01-06,15:53
20000,30,1,28312,829,-7483,2019-01-06,15:52
20000,5,34,5180,38142,52962,2019-01-06,15:51
20000,30,36,34372,40516,26144,2019-01-06,15:50
20000,42,32,45825,34480,8655,2019-01-06,15:49
20000,38,6,36364,5715,-10649,2019-01-06,15:48
20000,44,21,53045,19511,-13534,2019-01-06,15:47
20000,14,32,15608,33533,37925,2019-01-06,15:46
20000,32,8,34731,5829,-8902,2019-01-06,15:45
20000,43,38,42900,39566,16666,2019-01-06,15:44
20000,39,43,38912,36680,17768,2019-01-06,15:43
20000,27,0,27414,0,-7414,2019-01-06,15:42
20000,1,35,1331,32114,50783,2019-01-06,15:41
20000,12,44,15366,47484,52118,2019-01-06,15:40
20000,35,4,42405,6391,-16014,2019-01-06,15:39
20000,40,7,39578,6043,-13535,2019-01-06,15:38
20000,2,47,2320,51647,69327,2019-01-06,15:37
20000,30,42,26329,37221,30892,2019-01-06,15:36
20000,20,40,20258,38911,38653,2019-01-06,15:35
20000,45,21,43540,23682,142,2019-01-06,15:34
20000,37,42,43630,42090,18460,2019-01-06,15:33
20000,16,14,18927,14929,16002,2019-01-06,15:32
20000,10,0,8560,0,11440,2019-01-06,15:31
20000,6,49,9370,47602,58232,2019-01-06,15:30
20000,46,17,47595,16385,-11210,2019-01-06,15:29
20000,30,27,30663,25792,15129,2019-01-06,15:28
20000,25,28,26993,24471,17478,2019-01-06,15:27
20000,30,34,31036,31043,20007,2019-01-06,15:26
20000,33,28,37360,29988,12628,2019-01-06,15:25
20000,16,22,15966,22885,26919,2019-01-06,15:24
20000,21,36,24186,38342,34156,2019-01-06,15:23
20000,0,29,0,31040,51040,2019-01-06,15:22
20000,11,7,11601,7842,16241,2019-01-06,15:21
20000,25,1,28365,328,-8037,2019-01-06,15:20
20000,8,35,6172,37912,51740,2019-01-06,15:19
20000,21,13,20614,12970,12356,2019-01-06,15:18
20000,4,2,2316,975,18659,2019-01-06,15:17
20000,11,34,12394,34331,41937,2019-01-06,15:16
20000,8,28,9718,25129,35411,2019-01-06,15:15
20000,0,9,0,11510,31510,2019-01-06,15:14
20000,15,3,13462,3928,10466,2019-01-06,15:13
20000,37,31,40285,34234,13949,2019-01-06,15:12
20000,8,14,7215,15301,28086,2019-01-06,15:11
20000,14,44,16753,46985,50232,2019-01-06,15:10
20000,37,32,39674,28755,9081,2019-01-06,15:09
20000,29,0,30427,0,-10427,2019-01-06,15:08
20000,17,0,16623,0,3377,2019-01-06,15:07
20000,17,3,16355,4865,8510,2019-01-06,15:06
20000,13,16,14098,14822,20724,2019-01-06,15:05
20000,36,22,38107,23199,5092,2019-01-06,15:04
20000,33,31,31765,37444,25679,2019-01-06,15:03
20000,28,12,27364,13763,6399,2019-01-06,15:02
20000,22,0,25313,0,-5313,2019-01-06,15:01
20000,13,44,13995,44519,50524,2019-01-06,15:00
20000,32,23,37611,25814,8203,2019-01-06,14:59
20000,12,36,11647,33792,42145,2019-01-06,14:58
20000,32,11,27748,13227,5479,2019-01-06,14:57
20000,14,33,13731,32855,39124,2019-01-06,14:56
20000,9,38,9607,40937,51330,2019-01-06,14:55
20000,14,7,12573,4517,11944,2019-01-06,14:54
20000,12,44,16158,36763,40605,2019-01-06,14:53
20000,3,46,2042,49253,67211,2019-01-06,14:52
20000,6,21,4630,15979,31349,2019-01-06,14:51
20000,26,23,25060,23979,18919,2019-01-06,14:50
20000,48,21,41398,18254,-3144,2019-01-06,14:49
20000,49,0,48122,0,-28122,2019-01-06,14:48
20000,25,9,22622,10817,8195,2019-01-06,14:47
20000,41,21,37644,20755,3111,2019-01-06,14:46
20000,7,10,7506,10967,23461,2019-01-06,14:45
20000,40,8,40553,6255,-14298,2019-01-06,14:44
20000,20,46,19495,49920,50425,2019-01-06,14:43
20000,29,23,29393,25698,16305,2019-01-06,14:42
20000,0,2,0,1597,21597,2019-01-06,14:41
20000,8,47,9754,45760,56006,2019-01-06,14:40
20000,7,9,7761,10680,22919,2019-01-06,14:39
20000,8,43,6659,39278,52619,2019-01-06,14:38
20000,25,44,23813,46457,42644,2019-01-06,14:37
20000,19,7,20948,8950,8002,2019-01-06,14:36
20000,1,5,1769,4252,22483,2019-01-06,14:35
20000,16,1,14549,254,5705,2019-01-06,14:34
20000,7,23,6042,24403,38361,2019-01-06,14:33
20000,19,5,18319,5363,7044,2019-01-06,14:32
20000,30,15,31468,12597,1129,2019-01-06,14:31
20000,33,36,33009,32714,19705,2019-01-06,14:30
20000,46,27,44672,28951,4279,2019-01-06,14:29
20000,2,20,2241,19308,37067,2019-01-06,14:28
20000,48,22,44266,28461,4195,2019-01-06,14:27
20000,20,4,20291,4402,4111,2019-01-06,14:26
20000,4,18,3638,15548,31910,2019-01-06,14:25
20000,34,0,41057,0,-21057,2019-01-06,14:24
20000,4,35,4423,34378,49955,2019-01-06,14:23
20000,8,28,5625,24482,38857,2019-01-06,14:22
20000,12,13,12402,14275,21873,2019-01-06,14:21
20000,26,20,31146,16119,4973,2019-01-06,14:20
20000,29,23,27935,21335,13400,2019-01-06,14:19
20000,47,39,43821,43869,20048,2019-01-06,14:18
20000,35,7,30190,4512,-5678,2019-01-06,14:17
20000,49,48,47668,46535,18867,2019-01-06,14:16
20000,15,14,18775,16518,17743,2019-01-06,14:15
20000,37,32,38189,34330,16141,2019-01-06,14:14
20000,24,17,26556,16598,10042,2019-01-06,14:13
20000,15,28,15444,23280,27836,2019-01-06,14:12
20000,22,8,23663,5364,1701,2019-01-06,14:11
20000,33,5,35010,4983,-10027,2019-01-06,14:10
20000,41,13,41368,14031,-7337,2019-01-06,14:09
20000,2,44,3061,53856,70795,2019-01-06,14:08
20000,30,9,31808,10341,-1467,2019-01-06,14:07
20000,25,48,20682,51617,50935,2019-01-06,14:06
20000,34,6,35718,4033,-11685,2019-01-06,14:05
20000,9,31,13117,33902,40785,2019-01-06,14:04
20000,20,25,27030,19629,12599,2019-01-06,14:03
20000,8,35,7734,35386,47652,2019-01-06,14:02
20000,33,49,37305,52345,35040,2019-01-06,14:01
20000,34,11,30582,13018,2436,2019-01-06,14:00
20000,33,34,35639,30057,14418,2019-01-06,13:59
20000,40,6,38915,5929,-12986,2019-01-06,13:58
20000,5,44,3685,45962,62277,2019-01-06,13:57
20000,21,26,25277,30543,25266,2019-01-06,13:56
20000,17,45,18635,45507,46872,2019-01-06,13:55
20000,35,33,36512,33007,16495,2019-01-06,13:54
20000,29,0,28219,0,-8219,2019-01-06,13:53
20000,19,30,17986,29899,31913,2019-01-06,13:52
20000,10,21,10040,17808,27768,2019-01-06,13:51
20000,0,49,0,51830,71830,2019-01-06,13:50
20000,37,24,38573,18904,331,2019-01-06,13:49
20000,40,9,39385,9526,-9859,2019-01-06,13:48
20000,38,9,41726,10589,-11137,2019-01-06,13:47
20000,27,43,25003,42767,37764,2019-01-06,13:46
20000,22,19,19508,19270,19762,2019-01-06,13:45
20000,9,5,10085,6261,16176,2019-01-06,13:44
20000,16,14,19217,13251,14034,2019-01-06,13:43
20000,38,45,40372,46174,25802,2019-01-06,13:42
20000,36,47,36092,54768,38676,2019-01-06,13:41
20000,16,32,17027,31498,34471,2019-01-06,13:40
20000,4,49,3253,46881,63628,2019-01-06,13:39
20000,19,27,14370,27624,33254,2019-01-06,13:38
20000,22,39,25119,46047,40928,2019-01-06,13:37
20000,42,44,38522,46085,27563,2019-01-06,13:36
20000,26,10,25296,8335,3039,2019-01-06,13:35
20000,2,7,1840,6435,24595,2019-01-06,13:34
20000,42,33,41037,36037,15000,2019-01-06,13:33
20000,33,9,34708,10187,-4521,2019-01-06,13:32
20000,18,30,18150,31890,33740,2019-01-06,13:31
20000,6,1,4925,283,15358,2019-01-06,13:30
20000,31,13,31318,10592,-726,2019-01-06,13:29
20000,38,46,37663,40433,22770,2019-01-06,13:28
20000,14,38,11280,35719,44439,2019-01-06,13:27
20000,34,10,34698,11662,-3036,2019-01-06,13:26
20000,23,25,23290,23600,20310,2019-01-06,13:25
20000,39,34,39001,31280,12279,2019-01-06,13:24
20000,39,11,43944,14361,-9583,2019-01-06,13:23
20000,7,4,7638,3559,15921,2019-01-06,13:22
20000,42,46,42484,47843,25359,2019-01-06,13:21
20000,7,46,5298,52545,67247,2019-01-06,13:20
20000,9,0,10051,0,9949,2019-01-06,13:19
20000,1,5,694,5236,24542,2019-01-06,13:18
20000,13,38,10960,39549,48589,2019-01-06,13:17
20000,16,21,14698,15928,21230,2019-01-06,13:16
20000,29,20,28917,21665,12748,2019-01-06,13:15
20000,32,34,35272,38113,22841,2019-01-06,13:14
20000,26,36,26692,33301,26609,2019-01-06,13:13
20000,36,22,37110,19176,2066,2019-01-06,13:12
20000,5,22,4152,24695,40543,2019-01-06,13:11
20000,45,7,47939,11297,-16642,2019-01-06,13:10
20000,47,31,51440,34225,2785,2019-01-06,13:09
20000,12,16,13455,18660,25205,2019-01-06,13:08
20000,35,38,33090,41973,28883,2019-01-06,13:07
20000,0,3,0,3007,23007,2019-01-06,13:06
20000,28,0,28601,0,-8601,2019-01-06,13:05
20000,11,14,15173,12807,17634,2019-01-06,13:04
20000,7,0,5770,0,14230,2019-01-06,13:03
20000,38,6,40910,8675,-12235,2019-01-06,13:02
20000,40,19,38442,20326,1884,2019-01-06,13:01
20000,29,47,28697,44698,36001,2019-01-06,13:00
20000,14,1,16417,833,4416,2019-01-06,12:59
20000,21,40,19495,44424,44929,2019-01-06,12:58
20000,35,31,39130,33023,13893,2019-01-06,12:57
20000,6,18,6061,13491,27430,2019-01-06,12:56
20000,7,9,8043,10762,22719,2019-01-06,12:55
20000,44,21,43499,25314,1815,2019-01-06,12:54
20000,33,16,30419,15741,5322,2019-01-06,12:53
20000,28,4,24998,2844,-2154,2019-01-06,12:52
20000,28,20,26032,21983,15951,2019-01-06,12:51
20000,31,14,28720,14301,5581,2019-01-06,12:50
20000,26,1,26220,1082,-5138,2019-01-06,12:49
20000,28,43,24940,46109,41169,2019-01-06,12:48
20000,19,5,22427,3531,1104,2019-01-06,12:47
20000,14,13,15224,15082,19858,2019-01-06,12:46
20000,46,14,50956,17467,-13489,2019-01-06,12:45
20000,44,47,46918,48336,21418,2019-01-06,12:44
20000,26,14,21116,14415,13299,2019-01-06,12:43
20000,2,29,2330,24561,42231,2019-01-06,12:42
20000,15,14,17049,11830,14781,2019-01-06,12:41
20000,33,49,29840,50432,40592,2019-01-06,12:40
20000,35,1,35043,881,-14162,2019-01-06,12:39
20000,42,0,43459,0,-23459,2019-01-06,12:38
20000,17,25,20002,24869,24867,2019-01-06,12:37
20000,42,10,36643,11151,-5492,2019-01-06,12:36
20000,26,31,24561,26344,21783,2019-01-06,12:35
20000,15,5,14486,4687,10201,2019-01-06,12:34
20000,2,44,2393,46227,63834,2019-01-06,12:33
20000,37,31,36458,30867,14409,2019-01-06,12:32
20000,30,25,30701,30029,19328,2019-01-06,12:31
20000,6,43,5635,45166,59531,2019-01-06,12:30
20000,9,48,11746,50813,59067,2019-01-06,12:29
20000,5,22,2814,19486,36672,2019-01-06,12:28
20000,6,7,7854,5422,17568,2019-01-06,12:27
20000,12,1,13029,479,7450,2019-01-06,12:26
20000,7,7,6846,5724,18878,2019-01-06,12:25
20000,28,47,33302,46365,33063,2019-01-06,12:24
20000,16,14,15905,16527,20622,2019-01-06,12:23
20000,34,40,37608,43644,26036,2019-01-06,12:22
20000,30,30,29631,29330,19699,2019-01-06,12:21
20000,28,11,29429,13361,3932,2019-01-06,12:20
20000,8,23,6539,27290,40751,2019-01-06,12:19
20000,22,13,23907,14314,10407,2019-01-06,12:18
20000,21,16,25373,15224,9851,2019-01-06,12:17
20000,2,30,1910,27591,45681,2019-01-06,12:16
20000,19,23,21184,24921,23737,2019-01-06,12:15
20000,6,9,5810,9260,23450,2019-01-06,12:14
20000,49,2,54094,1203,-32891,2019-01-06,12:13
20000,21,11,24219,7057,2838,2019-01-06,12:12
20000,5,27,3511,29317,45806,2019-01-06,12:11
20000,5,24,5174,30144,44970,2019-01-06,12:10
20000,15,39,18509,35856,37347,2019-01-06,12:09
20000,14,3,13567,1138,7571,2019-01-06,12:08
20000,32,21,27298,22259,14961,2019-01-06,12:07
20000,32,24,33771,23067,9296,2019-01-06,12:06
20000,1,33,255,30698,50443,2019-01-06,12:05
20000,0,17,0,16877,36877,2019-01-06,12:04
20000,46,11,49578,12436,-17142,2019-01-06,12:03
20000,30,28,32877,30107,17230,2019-01-06,12:02
20000,44,46,45646,48055,22409,2019-01-06,12:01
20000,2,9,2086,11162,29076,2019-01-06,12:00
20000,22,49,20536,44542,44006,2019-01-06,11:59
20000,8,44,10412,43493,53081,2019-01-06,11:58
20000,4,19,2385,19468,37083,2019-01-06,11:57
20000,36,24,40994,17781,-3213,2019-01-06,11:56
20000,31,14,33289,12174,-1115,2019-01-06,11:55
20000,30,15,36109,15381,-728,2019-01-06,11:54
20000,26,29,26681,27798,21117,2019-01-06,11:53
20000,27,34,24144,33395,29251,2019-01-06,11:52
20000,22,37,21563,36500,34937,2019-01-06,11:51
20000,46,43,42147,43438,21291,2019-01-06,11:50
20000,11,41,11292,46286,54994,2019-01-06,11:49
20000,19,0,22390,0,-2390,2019-01-06,11:48
20000,19,27,19330,25345,26015,2019-01-06,11:47
20000,45,35,45485,38029,12544,2019-01-06,11:46
20000,20,12,19091,11537,12446,2019-01-06,11:45
20000,21,41,23716,43173,39457,2019-01-06,11:44
20000,40,28,40971,28209,7238,2019-01-06,11:43
20000,39,7,38172,8744,-9428,2019-01-06,11:42
20000,45,48,54612,47083,12471,2019-01-06,11:41
20000,10,48,10096,51107,61011,2019-01-06,11:40
20000,28,8,29976,11241,1265,2019-01-06,11:39
20000,15,36,17212,29853,32641,2019-01-06,11:38
20000,44,30,45624,30346,4722,2019-01-06,11:37
20000,44,47,42250,46075,23825,2019-01-06,11:36
20000,21,25,15633,27098,31465,2019-01-06,11:35
20000,1,29,904,25051,44147,2019-01-06,11:34
20000,48,19,50064,16685,-13379,2019-01-06,11:33
20000,24,33,23542,32708,29166,2019-01-06,11:32
20000,8,45,7615,50060,62445,2019-01-06,11:31
20000,39,22,49374,22307,-7067,2019-01-06,11:30
20000,23,23,27624,26825,19201,2019-01-06,11:29
20000,49,45,46256,39030,12774,2019-01-06,11:28
20000,27,7,24435,4341,-94,2019-01-06,11:27
20000,14,33,14695,29158,34463,2019-01-06,11:26
20000,10,47,7687,50134,62447,2019-01-06,11:25
20000,10,28,11039,29606,38567,2019-01-06,11:24
20000,28,34,29146,34236,25090,2019-01-06,11:23
20000,45,42,48104,48153,20049,2019-01-06,11:22
20000,16,23,15986,24276,28290,2019-01-06,11:21
20000,39,2,40288,1360,-18928,2019-01-06,11:20
20000,25,23,31718,20167,8449,2019-01-06,11:19
20000,7,32,7920,34178,46258,2019-01-06,11:18
20000,40,37,42747,37710,14963,2019-01-06,11:17
20000,28,8,28751,8683,-68,2019-01-06,11:16
20000,46,42,47835,42558,14723,2019-01-06,11:15
20000,27,20,30401,18908,8507,2019-01-06,11:14
20000,37,10,42817,10149,-12668,2019-01-06,11:13
20000,46,17,51815,15520,-16295,2019-01-06,11:12
20000,33,11,33212,13021,-191,2019-01-06,11:11
20000,35,17,34173,15559,1386,2019-01-06,11:10
20000,25,28,19756,27311,27555,2019-01-06,11:09
20000,14,42,15390,43772,48382,2019-01-06,11:08
20000,30,19,30677,17503,6826,2019-01-06,11:07
20000,40,32,42699,26187,3488,2019-01-06,11:06
20000,15,43,17886,40655,42769,2019-01-06,11:05
20000,37,24,39327,23955,4628,2019-01-06,11:04
20000,28,16,25969,15634,9665,2019-01-06,11:03
20000,0,45,0,44396,64396,2019-01-06,11:02
20000,35,33,35492,41215,25723,2019-01-06,11:01
20000,16,0,16243,0,3757,2019-01-06,11:00
20000,5,1,4684,1748,17064,2019-01-06,10:59
20000,36,14,38700,18489,-211,2019-01-06,10:58
20000,13,0,11979,0,8021,2019-01-06,10:57
20000,28,26,38345,32644,14299,2019-01-06,10:56
20000,21,22,20869,16246,15377,2019-01-06,10:55
20000,9,17,10462,18079,27617,2019-01-06,10:54
20000,28,46,27660,39251,31591,2019-01-06,10:53
20000,31,19,34959,18997,4038,2019-01-06,10:52
20000,43,29,40481,28249,7768,2019-01-06,10:51
20000,22,13,24916,15065,10149,2019-01-06,10:50
20000,47,49,43968,54421,30453,2019-01-06,10:49
20000,36,29,34649,28229,13580,2019-01-06,10:48
20000,14,23,16533,22673,26140,2019-01-06,10:47
20000,11,26,11765,24552,32787,2019-01-06,10:46
20000,36,45,40209,46637,26428,2019-01-06,10:45
20000,29,28,29415,18944,9529,2019-01-06,10:44
20000,7,22,7957,23954,35997,2019-01-06,10:43
20000,45,25,46601,25141,-1460,2019-01-06,10:42
20000,47,34,47462,35625,8163,2019-01-06,10:41
20000,31,36,35147,38525,23378,2019-01-06,10:40
20000,4,48,5422,56362,70940,2019-01-06,10:39
20000,46,11,37213,11244,-5969,2019-01-06,10:38
20000,28,27,32791,24885,12094,2019-01-06,10:37
20000,31,21,25540,26572,21032,2019-01-06,10:36
20000,15,45,18609,47364,48755,2019-01-06,10:35
20000,32,39,38155,40072,21917,2019-01-06,10:34
20000,26,25,23989,22476,18487,2019-01-06,10:33
20000,26,32,32674,26406,13732,2019-01-06,10:32
20000,47,11,48160,9900,-18260,2019-01-06,10:31
20000,33,19,29550,18390,8840,2019-01-06,10:30
20000,4,38,3028,35205,52177,2019-01-06,10:29
20000,6,4,6239,5706,19467,2019-01-06,10:28
20000,2,20,2570,23647,41077,2019-01-06,10:27
20000,10,33,7730,34214,46484,2019-01-06,10:26
20000,49,9,52008,10475,-21533,2019-01-06,10:25
20000,35,45,32780,47428,34648,2019-01-06,10:24
20000,10,11,8181,8875,20694,2019-01-06,10:23
20000,46,0,41329,0,-21329,2019-01-06,10:22
20000,25,35,24828,29882,25054,2019-01-06,10:21
20000,22,1,21184,1766,582,2019-01-06,10:20
20000,39,39,40037,43431,23394,2019-01-06,10:19
20000,35,25,42037,27481,5444,2019-01-06,10:18
20000,6,27,6216,30395,44179,2019-01-06,10:17
20000,1,27,727,27692,46965,2019-01-06,10:16
20000,25,37,26101,41613,35512,2019-01-06,10:15
20000,8,31,7154,27614,40460,2019-01-06,10:14
20000,40,29,40005,28736,8731,2019-01-06,10:13
20000,32,48,33535,46637,33102,2019-01-06,10:12
20000,25,21,23442,25844,22402,2019-01-06,10:11
20000,17,34,20572,32061,31489,2019-01-06,10:10
20000,35,24,34145,22269,8124,2019-01-06,10:09
20000,6,1,4850,803,15953,2019-01-06,10:08
20000,36,31,35893,29845,13952,2019-01-06,10:07
20000,48,18,50371,15609,-14762,2019-01-06,10:06
20000,30,39,33451,38208,24757,2019-01-06,10:05
20000,1,36,1693,38374,56681,2019-01-06,10:04
20000,1,28,509,23650,43141,2019-01-06,10:03
20000,10,47,9649,53317,63668,2019-01-06,10:02
20000,47,36,48783,45243,16460,2019-01-06,10:01
20000,1,17,1403,22032,40629,2019-01-06,10:00
20000,7,16,4262,14188,29926,2019-01-06,09:59
20000,6,19,4200,16228,32028,2019-01-06,09:58
20000,8,1,10877,1351,10474,2019-01-06,09:57
20000,3,11,3790,12072,28282,2019-01-06,09:56
20000,10,21,10702,20715,30013,2019-01-06,09:55
20000,5,32,5440,37472,52032,2019-01-06,09:54
20000,25,28,28525,30282,21757,2019-01-06,09:53
20000,19,49,17337,53297,55960,2019-01-06,09:52
20000,47,25,46139,28356,2217,2019-01-06,09:51
20000,26,31,20382,29891,29509,2019-01-06,09:50
20000,47,37,46468,38002,11534,2019-01-06,09:49
20000,7,35,5798,32944,47146,2019-01-06,09:48
20000,17,19,15886,17470,21584,2019-01-06,09:47
20000,2,29,1252,30058,48806,2019-01-06,09:46
20000,33,35,35333,34680,19347,2019-01-06,09:45
20000,25,14,24854,16572,11718,2019-01-06,09:44
20000,17,41,18643,44606,45963,2019-01-06,09:43
20000,0,38,0,38271,58271,2019-01-06,09:42
20000,35,21,45016,20342,-4674,2019-01-06,09:41
20000,31,22,30819,21437,10618,2019-01-06,09:40
20000,27,10,27324,9052,1728,2019-01-06,09:39
20000,22,33,18219,36344,38125,2019-01-06,09:38
20000,38,19,37724,18533,809,2019-01-06,09:37
20000,16,37,16747,38401,41654,2019-01-06,09:36
20000,12,18,11200,18038,26838,2019-01-06,09:35
20000,8,34,9657,33196,43539,2019-01-06,09:34
20000,30,24,29513,25035,15522,2019-01-06,09:33
20000,37,48,41642,53604,31962,2019-01-06,09:32
20000,27,4,27036,3225,-3811,2019-01-06,09:31
20000,22,5,24379,5607,1228,2019-01-06,09:30
20000,9,42,8741,51094,62353,2019-01-06,09:29
20000,38,14,39172,17067,-2105,2019-01-06,09:28
20000,1,1,682,1777,21095,2019-01-06,09:27
20000,20,6,18062,8204,10142,2019-01-06,09:26
20000,40,12,42239,10054,-12185,2019-01-06,09:25
20000,14,34,14780,28078,33298,2019-01-06,09:24
20000,4,42,3874,44427,60553,2019-01-06,09:23
20000,41,5,45474,6712,-18762,2019-01-06,09:22
20000,13,43,12926,43645,50719,2019-01-06,09:21
20000,5,38,5917,33248,47331,2019-01-06,09:20
20000,16,7,11417,7381,15964,2019-01-06,09:19
